date,weekday,units_sold,revenue_brl,campaign_type
2026-03-01,Domingo,24,1560,Domingo Gamer
2026-03-02,Segunda,58,5510,Organico
2026-03-03,Terca,23,1725,Midweek Deal
2026-03-04,Quarta,57,5415,Organico
2026-03-05,Quinta,31,2480,Bundle
2026-03-06,Sexta,94,12690,Weekend Spotlight
2026-03-07,Sabado,79,10270,Weekend Spotlight
2026-03-08,Domingo,15,975,Domingo Gamer
2026-03-09,Segunda,62,5890,Organico
2026-03-10,Terca,28,2100,Midweek Deal
2026-03-11,Quarta,55,5225,Organico
2026-03-12,Quinta,33,2640,Bundle
2026-03-13,Sexta,91,12285,Weekend Spotlight
2026-03-14,Sabado,77,10010,Weekend Spotlight
2026-03-15,Domingo,19,1235,Domingo Gamer
2026-03-16,Segunda,53,5035,Organico
2026-03-17,Terca,21,1575,Midweek Deal
2026-03-18,Quarta,59,5605,Organico
2026-03-19,Quinta,26,2080,Bundle
2026-03-20,Sexta,95,12825,Weekend Spotlight
2026-03-21,Sabado,70,9100,Weekend Spotlight
2026-03-22,Domingo,27,1755,Domingo Gamer
2026-03-23,Segunda,45,4275,Organico
2026-03-24,Terca,25,1875,Midweek Deal
2026-03-25,Quarta,48,4560,Organico
2026-03-26,Quinta,20,1600,Bundle
2026-03-27,Sexta,92,12420,Weekend Spotlight
2026-03-28,Sabado,68,8840,Weekend Spotlight
2026-03-29,Domingo,34,2210,Domingo Gamer
2026-03-30,Segunda,57,5415,Organico
2026-03-31,Terca,27,2025,Midweek Deal
