appid,name,peak_ccu,segment,primary_genre,price,owners_mid
730,Counter-Strike 2,1013936,Other,Action,0.0,150000000
570,Dota 2,623941,Other,Action,0.0,150000000
578080,PUBG: BATTLEGROUNDS,314682,Other,Action,0.0,150000000
3419430,Bongo Cat,164168,Indie,Casual,0.0,10000
2622380,ELDEN RING NIGHTREIGN,163599,AAA,Action,29.99,3500000
252490,Rust,143870,Indie,Action,19.99,35000000
1172470,Apex Legends™,124262,Other,Action,0.0,150000000
2767030,Marvel Rivals,106611,Other,Action,0.0,10000
431960,Wallpaper Engine,91184,Indie,Casual,3.99,35000000
1671210,DELTARUNE,83936,Indie,Indie,19.99,1500000
271590,Grand Theft Auto V Legacy,67851,Other,Action,0.0,75000000
1938090,Call of Duty®,67419,Other,Action,0.0,75000000
1203220,NARAKA: BLADEPOINT,66954,Other,Action,0.0,15000000
1086940,Baldur's Gate 3,54771,AAA,Adventure,44.99,35000000
553850,HELLDIVERS™ 2,53399,AAA,Action,31.99,35000000
359550,Tom Clancy's Rainbow Six® Siege X,51847,Other,Action,0.0,35000000
413150,Stardew Valley,50662,Indie,Indie,8.99,35000000
236390,War Thunder,50478,Other,Action,0.0,35000000
2252570,Football Manager 2024,47931,Other,Simulation,0.0,1500000
381210,Dead by Daylight,44886,Other,Action,7.99,35000000
